file_scan	perm	uid	gid	size	size_on_disk	blocks	atime	mtime	ctime	inode	file_name
ifs.am.cal.backup.apps.3rdparty	33261	829	829	2550000	2555904	7091	1336037322	1213214697	1646740681	4357600686	./techco/sdcon_segy/test/test.sgy
ifs.am.cal.backup.apps.3rdparty	33204	829	829	14074800	14082048	36867	1336037323	1235002754	1646740681	4375146159	./techco/obsolete/test/2d_out_mig.sgy
ifs.am.cal.backup.apps.3rdparty	33277	829	829	7210800	7217152	19267	1336037322	1210090360	1646740681	4375146152	./techco/obsolete/test/2d_out.sgy
ifs.am.cal.backup.apps.3rdparty	33261	829	829	2550000	2555904	7091	1535036484	1190396266	1646740681	4375584884	./techco/sdcon/test/test.sgy
ifs.am.cal.backup.apps.3rdparty	33277	829	36932	34932	40960	243	1297938863	896544926	1646740613	4361855191	./OWscan/2003.12.1/LinuxRHEL64_30WS/SynTool/testdata/testseis.sgy
ifs.am.cal.backup.apps.3rdparty	33277	829	36932	25560	32768	195	1317948502	1080595637	1646740617	4374220807	./OWscan/2003.12.1/LinuxRHEL64_30WS/LogM_STRUCT/LogMdata/field.sgy
ifs.am.cal.backup.apps.3rdparty	33277	829	36932	25560	32768	195	1317948502	1080595637	1646740617	4374220815	./OWscan/2003.12.1/LinuxRHEL64_30WS/LogM_STRUCT/LogMdata/subject.sgy
ifs.am.cal.backup.apps.3rdparty	33277	829	36932	25560	32768	195	1317948502	1080595636	1646740617	4374220806	./OWscan/2003.12.1/LinuxRHEL64_30WS/LogM_STRUCT/LogMdata/control.sgy
ifs.am.cal.backup.apps.3rdparty	33273	45746	45746	512534	516096	1571	1366667335	1366667335	1366667335	4368522903	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/NFHWELL_12/SWDATA/a4-2307mig.sgy
ifs.am.cal.backup.apps.3rdparty	33273	45746	45746	503566	507904	1555	1366667335	1366667335	1366667335	4368522902	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/NFHWELL_12/SWDATA/a3-663mig.sgy
ifs.am.cal.backup.apps.3rdparty	33204	45746	45746	22963140	22970368	60419	1435605117	1435258353	1435258353	4590804414	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/TEST_UPGRADE1/SWDATA/AT15401043_fmigfx.sgy
ifs.am.cal.backup.apps.3rdparty	33204	45746	45746	2909370	2916352	7795	1440437483	1435258353	1435258353	4582131701	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/TEST_UPGRADE1/SWDATA/a1-463mig.sgy
ifs.am.cal.backup.apps.3rdparty	33204	45746	45746	283050	286720	1123	1435258353	1435258353	1435258353	4590416610	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/TEST_UPGRADE1/SWDATA/t1-bjm1bjm.sgy
ifs.am.cal.backup.apps.3rdparty	33277	45746	36932	22963140	22970368	60371	1434683659	1414190540	1414190720	4369759668	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/DSD83_TEST/SWDATA/AT15401043_fmigfx.sgy
ifs.am.cal.backup.apps.3rdparty	33273	45746	36932	2909370	2916352	7795	1434683660	1390255168	1414190720	4367120574	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/DSD83_TEST/SWDATA/a1-463mig.sgy
ifs.am.cal.backup.apps.3rdparty	33273	45746	36932	283050	286720	1123	1434683660	1380897719	1414190720	4376972288	./R5000/R5000_2/LinuxRHEL64_x86_64_40AS/OWDATA/OW_PROJ_DATA/DSD83_TEST/SWDATA/t1-bjm1bjm.sgy
ifs.am.cal.backup.apps.3rdparty	33261	17067	17067	192663552	192667648	503331	1317948172	1045160390	1298698667	4364091593	./epdtw/123DI/123DITrainingClasses/class/class.dis.vt
ifs.am.cal.backup.apps.3rdparty	33261	17067	17067	195061376	195067904	509779	1317948118	1045053396	1298698712	4364611621	./epdtw/123DI/123DITrainingClasses/class/class.vt
ifs.am.cal.backup.apps.3rdparty	33261	17067	17067	79950772	79953920	209107	1317948191	850346417	1298698585	4376992082	./epdtw/123DI/123DITrainingClasses/bodychecking/	bcheck.vt
ifs.am.cal.backup.apps.3rdparty	33261	17067	17067	192663552	192667648	503331	1317947939	1045160390	1298698776	4367630720	./epdtw/123DI/123DITrainingClasses/data/class.dis.vt
ifs.am.cal.backup.apps.3rdparty	33261	17067	17067	195061376	195067904	509731	1317947964	1045053396	1298698814	4367630721	./epdtw/123DI/123DITrainingClasses/data/class.vt
ifs.am.cal.backup.apps.3rdparty	33261	0	2000	3103632	3104768	8163	1343410350	1187796738	1298702325	4371156805	./training/Rokdoc/RokDoc5.2_MUREX/orig_demodata/data/Gathers_demo.sgy
ifs.am.cal.backup.apps.3rdparty	33261	0	2000	22894644	22896640	60115	1343410363	1187795762	1298702320	4359098468	./training/Rokdoc/RokDoc5.2_MUREX/orig_demodata/data/3D_demo_data.sgy
ifs.am.cal.backup.apps.3rdparty	33261	0	2000	3103632	3104768	8163	1343410262	1187796738	1298702276	4360120553	./training/Rokdoc/RokDoc5.2_MUREX/demodata/data/Gathers_demo.sgy
ifs.am.cal.backup.apps.3rdparty	33261	0	2000	22894644	22896640	60115	1343410273	1187795762	1298702271	4360120543	./training/Rokdoc/RokDoc5.2_MUREX/demodata/data/3D_demo_data.sgy
ifs.am.cal.backup.apps.3rdparty	33256	829	829	373860	376832	1299	1297947117	1231274607	1401131042	4376996675	./tesseral/20080227-GL-version/job/migreiko+GathEP.sgy
ifs.am.cal.backup.apps.3rdparty	33256	829	829	373860	376832	1299	1297947109	1234459724	1401131042	4371461569	./tesseral/20080227/job/migreiko+GathEP.sgy
ifs.am.cal.backup.apps.3rdparty	33184	829	829	373860	376832	1299	1297947113	1247687546	1401131186	4374877369	./tesseral/final/testjob/migreiko+GathEP.sgy
ifs.am.cal.backup.apps.3rdparty	33261	829	829	87894144	87900160	229699	1602230526	1569328787	1569328787	6967665277	./OpenWorks/EPWDR51T/tlsadmin/bench/SEGY/class3d.sgy
ifs.am.cal.backup.apps.3rdparty	33261	829	829	22096572	22102016	58019	1602235081	1569328791	1569328791	6967665278	./OpenWorks/EPWDR51T/tlsadmin/bench/SEGY/class2d.sgy
ifs.am.cal.backup.apps.3rdparty	33277	829	829	34932	40960	243	1548363174	1460413132	1493246780	5535804171	./OpenWorks/EPWDR51T/Linux_RHEL6/R5000.10.6/SynTool/testdata/testseis.sgy
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880291	1355164488	1355163962	1355163962	4357557390	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_1.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164689	1355164084	1355164084	4357560803	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_12.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164784	1355164139	1355164139	4372396787	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_17.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164598	1355164030	1355164030	4357557770	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_7.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164803	1355164150	1355164150	4372396788	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_18.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164633	1355164052	1355164052	4357558962	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_9.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164507	1355163974	1355163974	4357557393	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_2.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164616	1355164041	1355164041	4357558317	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_8.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164900	1355164207	1355164207	4372396793	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_23.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164670	1355164073	1355164073	4357559990	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_11.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164563	1355164008	1355164008	4357557398	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_5.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164765	1355164128	1355164128	4357563288	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_16.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164822	1355164162	1355164162	4372396789	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_19.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164581	1355164019	1355164019	4357557399	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_6.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164939	1355164230	1355164230	4372396796	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_25.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164544	1355163996	1355163996	4357557395	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_4.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164708	1355164096	1355164096	4357561365	./nDI/data/ReadTest/Test1/ReadTest/ot	u_psdm_13.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164920	1355164220	1355164220	4372396795	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_24.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880291	1355164861	1355164183	1355164183	4372396791	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_21.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164727	1355164106	1355164106	4357561797	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_14.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164841	1355164173	1355164173	4372396790	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_20.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164746	1355164116	1355164116	4357562476	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_15.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880339	1355164881	1355164194	1355164194	4372396792	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_22.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164525	1355163985	1355163985	4357557394	./nDI/data/ReadTest/Test1/ReadTest/otu_psdm_3.vt
ifs.am.cal.backup.apps.3rdparty	33257	36175	36175	336841112	336846848	880387	1355164651	1355164063	1355164063	4357559709	./nDI/data/ReadTest/Test1/ReadTest/otu_ps	dm_10.vt
ifs.am.cal.backup.apps.3rdparty_ep	33261	829	829	87894144	87900160	207377	1666191452	1569328890	1569328890	6946035398	./OpenWorks/EPWDR51P/tlsadmin/bench/SEGY/class3d.sgy
ifs.am.cal.backup.apps.3rdparty_ep	33261	829	829	22096572	22102016	52113	1666191452	1569328895	1569328895	6957504670	./OpenWorks/EPWDR51P/tlsadmin/bench/SEGY/class2d.sgy
